category,count,columns,col_width,total,sort,scatter,gather
pdq_static,262144,4,4,18490836,15067685,2577045,846106
radix,262144,4,4,13628437,10222491,2559751,846195
pdq_static,262144,4,4,18619233,15190397,2571690,857146
radix,262144,4,4,13629696,10210546,2573114,846036
pdq_static,262144,4,4,18461354,15048483,2566791,846080
radix,262144,4,4,13784294,10319192,2604707,860395
pdq_static,262144,4,4,18483654,15063154,2574362,846138
radix,262144,4,4,13600836,10194444,2560382,846010
pdq_static,262144,4,4,18516155,15075099,2583651,857405
radix,262144,5,4,15724144,11316733,3560471,846940
pdq_static,262144,5,4,30825060,26826332,3141222,857506
radix,262144,5,4,15256190,11272938,3137133,846119
pdq_static,262144,5,4,30689927,26711127,3132472,846328
radix,262144,5,4,15245597,11258366,3140380,846851
pdq_static,262144,5,4,30967905,27002777,3119021,846107
radix,262144,5,4,15278736,11262733,3157674,858329
pdq_static,262144,5,4,30824553,26828036,3142700,853817
radix,262144,5,4,15249895,11265332,3138514,846049
pdq_static,262144,5,4,31141018,27178988,3116119,845911
radix,262144,6,4,17196375,12134222,4215917,846236
pdq_static,262144,6,4,32743027,28047234,3849348,846445
radix,262144,6,4,16990980,12276487,3867654,846839
pdq_static,262144,6,4,32948191,28247302,3854840,846049
radix,262144,6,4,16815532,12083646,3863044,868842
pdq_static,262144,6,4,32748121,28024366,3866106,857649
radix,262144,6,4,16740470,12028056,3866058,846356
pdq_static,262144,6,4,32724946,28036252,3842624,846070
radix,262144,6,4,16691330,11991169,3853910,846251
pdq_static,262144,6,4,32805450,28126685,3832461,846304
radix,262144,7,4,17754015,11845054,5055895,853066
pdq_static,262144,7,4,32681066,27032284,4783092,865690
radix,262144,7,4,17433150,11748464,4820737,863949
pdq_static,262144,7,4,33070139,27427909,4795906,846324
radix,262144,7,4,17279948,11650453,4781899,847596
pdq_static,262144,7,4,32479420,26856913,4776243,846264
radix,262144,7,4,17339613,11678805,4811993,848815
pdq_static,262144,7,4,32907685,27288750,4772427,846508
radix,262144,7,4,17387635,11718646,4820445,848544
pdq_static,262144,7,4,32830713,27159846,4824559,846308
radix,1048576,1,4,27118449,19851835,4206974,3059640
pdq_static,1048576,1,4,66041243,58899942,4080355,3060946
radix,1048576,1,4,27055468,19853613,4140706,3061149
pdq_static,1048576,1,4,65316510,58165337,4084565,3066608
radix,1048576,1,4,27003453,19818538,4117462,3067453
pdq_static,1048576,1,4,65716112,58516365,4125124,3074623
radix,1048576,1,4,27276770,19983827,4232536,3060407
pdq_static,1048576,1,4,65098718,57967565,4072431,3058722
radix,1048576,1,4,27018194,19825929,4132565,3059700
pdq_static,1048576,1,4,65055921,57932074,4075122,3048725
radix,1048576,2,4,67857989,56482946,7964323,3410720
pdq_static,1048576,2,4,71457989,61509824,6551013,3397152
radix,1048576,2,4,65245507,55078223,6764762,3402522
pdq_static,1048576,2,4,71694147,61901779,6396533,3395835
radix,1048576,2,4,64560877,54726754,6431750,3402373
pdq_static,1048576,2,4,71015138,61216788,6405565,3392785
radix,1048576,2,4,64617699,54802645,6418075,3396979
pdq_static,1048576,2,4,71418779,61637885,6382240,3398654
radix,1048576,2,4,64848603,54872729,6573629,3402245
pdq_static,1048576,2,4,71052405,61168045,6488738,3395622
radix,1048576,3,4,69937519,56355245,10127635,3454639
pdq_static,1048576,3,4,74082272,61656389,9040837,3385046
radix,1048576,3,4,69454356,56609716,9406951,3437689
pdq_static,1048576,3,4,74336928,61707339,9232701,3396888
radix,1048576,3,4,69151016,56365249,9309156,3476611
pdq_static,1048576,3,4,74399104,61393167,9600472,3405465
radix,1048576,3,4,68809342,56031262,9342871,3435209
pdq_static,1048576,3,4,74202484,61590663,9214836,3396985
radix,1048576,3,4,68933792,56218267,9256360,3459165
pdq_static,1048576,3,4,74716368,61865849,9449606,3400913
radix,1048576,4,4,81136802,63955682,13622698,3558422
pdq_static,1048576,4,4,81380311,65824367,12122561,3433383
radix,1048576,4,4,80141910,63513926,13123028,3504956
pdq_static,1048576,4,4,81839890,65935548,12495410,3408932
radix,1048576,4,4,79432200,63250544,12636956,3544700
pdq_static,1048576,4,4,81730314,65869551,12444232,3416531
radix,1048576,4,4,79219042,63165263,12538610,3515169
pdq_static,1048576,4,4,81538612,65730952,12394455,3413205
radix,1048576,4,4,79423627,63308426,12554991,3560210
pdq_static,1048576,4,4,82339181,66385843,12544702,3408636
radix,1048576,5,4,95859963,75702297,16519185,3638481
pdq_static,1048576,5,4,136318664,117902343,14969070,3447251
radix,1048576,5,4,95720077,76122636,15943964,3653477
pdq_static,1048576,5,4,137339553,117844146,16018697,3476710
radix,1048576,5,4,97330547,77092376,16588407,3649764
pdq_static,1048576,5,4,137558890,118192223,15814416,3552251
radix,1048576,5,4,96455265,76078317,16716604,3660344
pdq_static,1048576,5,4,136439974,117185437,15825062,3429475
radix,1048576,5,4,95196025,75478427,16059902,3657696
pdq_static,1048576,5,4,137522741,118332409,15759607,3430725
radix,1048576,6,4,106400377,82731231,19851838,3817308
pdq_static,1048576,6,4,145477300,123245364,18735156,3496780
radix,1048576,6,4,106842084,83198170,19864478,3779436
pdq_static,1048576,6,4,145635252,122634987,19492047,3508218
radix,1048576,6,4,106717910,83186853,19724019,3807038
pdq_static,1048576,6,4,145619667,122613106,19521301,3485260
radix,1048576,6,4,106133162,82691241,19664490,3777431
pdq_static,1048576,6,4,145567720,122585726,19466308,3515686
radix,1048576,6,4,106178375,82706201,19670558,3801616
pdq_static,1048576,6,4,146518603,123455433,19567529,3495641
radix,1048576,7,4,109758462,81737129,24100809,3920524
pdq_static,1048576,7,4,146408779,120390760,22420671,3597348
radix,1048576,7,4,106603857,81459475,21289959,3854423
pdq_static,1048576,7,4,145214974,119583991,22032555,3598428
radix,1048576,7,4,107570536,81949566,21751886,3869084
pdq_static,1048576,7,4,146865157,120930826,22318962,3615369
radix,1048576,7,4,107040416,81686374,21510133,3843909
pdq_static,1048576,7,4,144873737,119167824,22121307,3584606
radix,1048576,7,4,106594658,81381465,21367551,3845642
pdq_static,1048576,7,4,146900481,119861889,23345885,3692707
radix,4194304,1,4,184793946,153162729,19256603,12374614
pdq_static,4194304,1,4,281304989,247672974,21314140,12317875
radix,4194304,1,4,186512567,154262719,19872814,12377034
pdq_static,4194304,1,4,280184118,246593070,21271359,12319689
radix,4194304,1,4,186070116,154259560,19438950,12371606
pdq_static,4194304,1,4,281342449,247769213,21255640,12317596
radix,4194304,1,4,184986571,153291437,19308634,12386500
pdq_static,4194304,1,4,281436881,247877849,21243135,12315897
radix,4194304,1,4,186050325,154147324,19534167,12368834
pdq_static,4194304,1,4,281702925,248235995,21154704,12312226
radix,4194304,2,4,289110200,241042108,34191643,13876449
pdq_static,4194304,2,4,313095060,265899015,33415832,13780213
radix,4194304,2,4,283950824,237689128,32428024,13833672
pdq_static,4194304,2,4,312791307,266330161,32689317,13771829
radix,4194304,2,4,284683952,238515844,32315288,13852820
pdq_static,4194304,2,4,311933453,265372604,32808329,13752520
radix,4194304,2,4,284362832,238102519,32436056,13824257
pdq_static,4194304,2,4,312201700,265811448,32649704,13740548
radix,4194304,2,4,284145001,238036091,32264827,13844083
pdq_static,4194304,2,4,315035864,268758613,32512746,13764505
radix,4194304,3,4,326985777,264263786,48353687,14368304
pdq_static,4194304,3,4,335645291,271483941,50073161,14088189
radix,4194304,3,4,328603695,263992082,50239315,14372298
pdq_static,4194304,3,4,333735906,269718622,49921640,14095644
radix,4194304,3,4,328507955,263841264,50362980,14303711
pdq_static,4194304,3,4,334988214,270814699,50061595,14111920
radix,4194304,3,4,328215899,263608447,50310820,14296632
pdq_static,4194304,3,4,332527591,268126763,50298564,14102264
radix,4194304,3,4,329173412,264105024,50734855,14333533
pdq_static,4194304,3,4,334975518,270748650,50108436,14118432
radix,4194304,4,4,373392054,296148244,62453828,14789982
pdq_static,4194304,4,4,367493133,290672114,62222371,14598648
radix,4194304,4,4,373734846,296508257,62462470,14764119
pdq_static,4194304,4,4,366201613,289301285,62326472,14573856
radix,4194304,4,4,374275794,296908180,62494682,14872932
pdq_static,4194304,4,4,368902818,292075450,62323234,14504134
radix,4194304,4,4,373802194,296629253,62473088,14699853
pdq_static,4194304,4,4,366312318,289578272,62263423,14470623
radix,4194304,4,4,373961927,296666818,62433822,14861287
pdq_static,4194304,4,4,368937805,292120057,62248776,14568972
radix,4194304,5,4,410631508,320728173,74643944,15259391
pdq_static,4194304,5,4,609145371,519524483,74655327,14965561
radix,4194304,5,4,410758465,320618707,74881639,15258119
pdq_static,4194304,5,4,604151600,514591442,74639946,14920212
radix,4194304,5,4,410846422,320887238,74733373,15225811
pdq_static,4194304,5,4,612908139,523201428,74701508,15005203
