category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
row,4194304,3,470661083,10,928,31,24,0
row,4194304,3,470761041,12,922,34,31,0
row,4194304,3,470861041,12,918,37,33,0
row,4194304,3,470961083,11,933,34,28,0
row,4194304,3,471061041,13,917,35,31,0
row,4194304,3,471161041,12,924,39,29,0
row,4194304,3,471261041,13,917,34,29,0
row,4194304,3,471361041,10,931,37,44,0
row,4194304,3,471461083,12,920,39,28,0
row,4194304,3,471561083,12,916,36,28,0
row,4194304,3,471661083,9,936,28,23,0
row,4194304,3,471761041,11,890,36,28,0
row,4194304,3,471861083,9,911,34,25,0
row,4194304,3,471961041,14,883,35,32,0
row,4194304,3,472061041,12,912,38,28,0
row,4194304,3,472161083,10,931,29,22,0
row,4194304,3,472263916,12,915,41,31,0
row,4194304,3,472361041,12,889,40,31,0
row,4194304,3,472461083,9,933,29,23,0
row,4194304,3,472561083,12,917,41,32,0
row,4194304,3,472661041,12,917,38,35,0
row,4194304,3,472763958,9,931,27,24,0
row,4194304,3,472861083,12,887,40,31,0
row,4194304,3,472961250,10,800,36,25,0
row,4194304,3,473061291,12,915,36,33,0
row,4194304,3,473161083,10,927,32,24,0
row,4194304,3,473261083,12,915,36,31,0
row,4194304,3,473361041,12,916,37,34,0
row,4194304,3,473461000,10,931,28,25,0
row,4194304,3,473561083,12,875,39,29,0
row,4194304,3,473661041,12,905,38,30,0
row,4194304,3,473761041,12,933,28,24,0
row,4194304,3,473861041,12,909,43,30,0
row,4194304,3,473961083,12,912,40,31,0
row,4194304,3,474061041,10,932,30,24,0
row,4194304,3,474161250,12,912,38,30,0
row,4194304,3,474263916,12,913,37,31,0
row,4194304,3,474361083,10,905,30,24,0
row,4194304,3,474461083,12,914,37,33,0
row,4194304,3,474561041,12,917,39,33,0
row,4194304,3,474661041,11,934,28,25,0
row,4194304,3,474761083,14,914,38,35,0
row,4194304,3,474861083,13,917,42,35,0
row,4194304,3,474961041,9,905,29,21,0
row,4194304,3,475061041,12,915,39,29,0
row,4194304,3,475161041,12,908,41,34,0
row,4194304,3,475261041,8,929,27,21,0
row,4194304,3,475361083,13,898,38,31,0
row,4194304,3,475461041,12,915,33,28,0
row,4194304,3,475561041,10,932,39,45,0
row,4194304,3,475661083,13,916,44,34,0
row,4194304,3,475761041,13,915,40,32,0
row,4194304,3,475861041,9,936,29,24,0
row,4194304,3,475961041,14,921,39,35,0
row,4194304,3,476061041,13,917,38,31,0
row,4194304,3,476263958,13,825,37,32,0
row,4194304,3,476361083,9,909,28,22,0
row,4194304,3,476461041,13,921,37,30,0
row,4194304,3,476661041,9,927,29,25,0
row,4194304,3,476761041,14,907,40,32,0
row,4194304,3,476861041,12,919,38,29,0
row,4194304,3,476961041,8,933,26,24,0
row,4194304,3,477061291,12,797,47,34,0
row,4194304,3,477161291,9,922,30,27,0
row,4194304,3,477261041,13,915,37,34,0
row,4194304,3,477361083,12,916,38,34,0
row,4194304,3,477461041,11,933,28,24,0
row,4194304,3,477561041,12,915,40,31,0
row,4194304,3,477661041,13,918,36,33,0
row,4194304,3,477761250,9,932,31,25,0
row,4194304,3,477861041,12,918,36,31,0
row,4194304,3,477961083,14,918,37,33,0
row,4194304,3,478061041,9,931,28,21,0
row,4194304,3,478261041,12,887,40,29,0
row,4194304,3,478361041,10,930,29,24,0
row,4194304,3,478461083,13,917,37,29,0
row,4194304,3,478561041,12,917,37,32,0
row,4194304,3,478661041,9,938,31,24,0
row,4194304,3,478761041,11,898,37,30,0
row,4194304,3,478861041,13,899,39,31,0
row,4194304,3,478963875,9,930,30,23,0
row,4194304,3,479061041,12,886,36,32,0
row,4194304,3,479161041,12,929,32,29,0
row,4194304,3,479261083,12,920,37,28,0
row,4194304,3,479361041,12,914,43,29,0
row,4194304,3,479463375,12,919,29,28,0
row,4194304,3,479561083,10,903,38,43,0
row,4194304,3,479661041,13,916,42,35,0
row,4194304,3,479761041,9,933,33,25,0
row,4194304,3,479861041,14,920,35,35,0
row,4194304,3,479961041,13,920,38,33,0
row,4194304,3,480061083,12,917,39,31,0
row,4194304,3,480163916,10,935,30,25,0
row,4194304,3,480261041,14,890,39,35,0
row,4194304,3,480361083,10,925,32,27,0
row,4194304,3,480461083,10,924,33,28,0
row,4194304,3,480561083,13,911,39,30,0
row,4194304,3,480661083,9,920,29,22,0
row,4194304,3,480761041,12,919,34,28,0
row,4194304,3,480861083,13,911,39,31,0
row,4194304,3,481061083,10,926,34,46,0
row,4194304,3,481161041,13,916,39,31,0
row,4194304,3,481261041,12,912,31,32,0
row,4194304,3,481361041,10,926,36,44,0
row,4194304,3,481461041,12,910,41,33,0
row,4194304,3,481561125,13,917,32,32,0
row,4194304,3,481661083,10,923,38,49,0
row,4194304,3,481761041,12,910,39,32,0
row,4194304,3,481861208,12,918,31,34,0
row,4194304,3,481961083,14,921,41,52,0
row,4194304,3,482061041,12,913,39,32,0
row,4194304,3,482164083,12,921,33,35,0
row,4194304,3,482261083,9,899,30,28,0
row,4194304,3,482361083,14,878,40,34,0
row,4194304,3,482461041,9,924,30,23,0
row,4194304,3,482561041,12,910,38,30,0
row,4194304,3,482661041,13,909,38,35,0
row,4194304,3,482861083,13,917,37,36,0
row,4194304,3,483161083,12,801,40,32,0
row,4194304,3,483261083,9,931,28,24,0
row,4194304,3,483361041,12,918,40,31,0
row,4194304,3,483461041,12,917,37,29,0
row,4194304,3,483561041,9,876,35,21,0
row,4194304,3,483661041,13,917,39,29,0
row,4194304,3,483761041,10,929,33,24,0
row,4194304,3,483861041,11,917,39,27,0
row,4194304,3,483961041,12,921,36,29,0
row,4194304,3,484061208,15,914,28,34,0
row,4194304,3,484163708,9,924,39,24,0
row,4194304,3,484261041,13,887,36,32,0
row,4194304,3,484361041,10,929,32,24,0
row,4194304,3,484461083,12,915,39,35,0
row,4194304,3,484561041,12,916,38,35,0
row,4194304,3,484661000,10,930,31,28,0
row,4194304,3,484761041,12,921,36,32,0
row,4194304,3,484861041,13,917,37,33,0
row,4194304,3,484961041,12,920,39,33,0
row,4194304,3,485061083,9,934,30,25,0
row,4194304,3,485161083,12,921,40,28,0
row,4194304,3,485261041,12,912,37,30,0
row,4194304,3,485361041,9,925,34,22,0
