sim,category,count,columns,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS
reorder,col,19,96,94752,199139133,169985434,6509606
reorder,col,19,96,97238,199116273,169849438,6638987
reorder,col,19,96,98636,199149197,169597743,6816640
reorder,col,20,1,8142,5371176,5018092,2479420
reorder,col,20,1,8215,5369558,4996412,2477087
reorder,col,20,1,11142,5370974,4941704,2482523
reorder,col,20,1,11028,5368913,4999771,2489599
reorder,col,20,1,9188,5369982,5005897,2476155
reorder,col,20,2,16606,9600025,8493900,4211658
reorder,col,20,2,13281,9602122,8486059,4205338
reorder,col,20,2,12966,9602432,8481764,4224701
reorder,col,20,2,14912,9596529,8483488,4233012
reorder,col,20,2,18897,9604617,8490605,4205517
reorder,col,20,4,13144,18066883,15496234,7694283
reorder,col,20,4,21240,18061719,15500953,7666509
reorder,col,20,4,20299,18060481,15532817,7706285
reorder,col,20,4,15304,18062257,15410281,7601578
reorder,col,20,4,25479,18063192,15476815,7669586
reorder,col,20,8,27740,34987643,29646701,14582552
reorder,col,20,8,49479,34988333,29545587,14702292
reorder,col,20,8,39084,34981199,29617535,14556109
reorder,col,20,8,52144,34978244,29619046,14690470
reorder,col,20,8,51128,34982593,29583017,14605807
reorder,col,20,16,76973,68826746,57915749,28358091
reorder,col,20,16,49047,68726165,57831420,28458106
reorder,col,20,16,76804,68838116,57826753,28448026
reorder,col,20,16,49594,68818889,57918420,28365112
reorder,col,20,16,46639,68778462,57804829,28443173
reorder,col,20,32,170273,136475575,114530198,56277302
reorder,col,20,32,161958,136496144,114535712,56456893
reorder,col,20,32,120193,136504857,114572852,56087420
reorder,col,20,32,146384,136494893,114549733,56342801
reorder,col,20,32,157570,136497287,114516859,56240807
reorder,col,20,64,199003,271731831,227629676,111688745
reorder,col,20,64,259259,268213157,224554023,110371449
reorder,col,20,64,406932,271777389,227817276,111500436
reorder,col,20,64,257890,271879352,227791660,111765739
reorder,col,20,64,341461,271871483,227864408,111707907
reorder,col,20,96,328775,407226595,340901196,166491768
reorder,col,20,96,603768,401571007,334961311,165321517
reorder,col,20,96,568279,399304540,330139999,164004494
reorder,col,20,96,285012,404999024,335405170,166531244
reorder,col,20,96,269781,403729381,333994947,165500630
reorder,col,21,1,25255,10947863,9960577,8377521
reorder,col,21,1,27043,11006893,10122739,8450206
reorder,col,21,1,18497,11008575,10127971,8394552
reorder,col,21,1,49288,10703796,9595689,8224335
reorder,col,21,1,36215,10936364,9725494,8344892
reorder,col,21,2,22307,19678743,17173006,14383747
reorder,col,21,2,25411,19681445,17158945,14365906
reorder,col,21,2,31930,19670871,17183533,14388595
reorder,col,21,2,40255,19681340,17085975,14411916
reorder,col,21,2,45546,19681550,17168730,14401960
reorder,col,21,4,66442,37025708,31243226,26431977
reorder,col,21,4,43651,37015162,31177220,26341719
reorder,col,21,4,42698,37011533,31295351,26327544
reorder,col,21,4,54848,37012579,31243314,26369618
reorder,col,21,4,72743,37018971,31224492,26405037
reorder,col,21,8,139120,71699069,59454008,50405694
reorder,col,21,8,97581,71704045,59458170,50279845
reorder,col,21,8,126247,71694765,59520123,50382506
reorder,col,21,8,135286,71700979,59437690,50414567
reorder,col,21,8,59543,71699072,59461955,50100032
reorder,col,21,16,191663,141078781,115854774,98248085
reorder,col,21,16,148241,141072188,115897389,98069001
reorder,col,21,16,133320,141077417,115903128,97889159
reorder,col,21,16,75228,141045243,115927751,97772988
reorder,col,21,16,133380,141068044,115874474,98019943
reorder,col,21,32,226805,279794363,228683155,193243053
reorder,col,21,32,220634,279796498,228922073,193364381
reorder,col,21,32,499883,279779206,228897352,194279612
reorder,col,21,32,165887,279803021,228794933,193027575
reorder,col,21,32,213776,279745333,228843512,193302641
reorder,col,21,64,490854,557219254,454374608,384703663
reorder,col,21,64,468342,557208293,454609165,384818949
reorder,col,21,64,738427,557239673,454698433,385164662
reorder,col,21,64,492877,557152431,453506043,384758253
reorder,col,21,64,499776,557153827,454871975,385235113
reorder,col,21,96,929125,834552485,680464351,576700350
reorder,col,21,96,711276,834541761,680695407,575591024
reorder,col,21,96,792059,834591791,680351363,576626285
reorder,col,21,96,1326917,834610990,680389139,577912253
reorder,col,21,96,620739,834544716,680598117,575133369
reorder,col,22,1,56228,22323509,19894673,20736469
reorder,col,22,1,49011,22343525,19903719,20748414
reorder,col,22,1,49025,22347360,19914646,20744173
reorder,col,22,1,48200,22343581,19922535,20754300
reorder,col,22,1,65591,22346487,19882195,20803269
reorder,col,22,2,67840,39922281,33568498,35189161
reorder,col,22,2,99492,39928252,33565597,35330220
reorder,col,22,2,95190,39921821,33581603,35335644
reorder,col,22,2,104020,39918116,33598801,35330337
reorder,col,22,2,85741,39929736,33587169,35283380
reorder,col,22,4,96274,75097696,60812826,64127237
reorder,col,22,4,148687,75094561,60823317,64302738
reorder,col,22,4,124968,75087920,60893259,64228931
reorder,col,22,4,157891,75090572,60911463,64367306
reorder,col,22,4,123984,74863499,60635275,64076984
reorder,col,22,8,217377,145414928,115305859,122259045
reorder,col,22,8,162520,145415562,115482612,121988066
reorder,col,22,8,351429,145425483,115524781,122531955
reorder,col,22,8,226511,145387270,115637167,122151863
reorder,col,22,8,300697,145133942,115184087,122269712
reorder,col,22,16,366587,286061000,224660051,238043842
reorder,col,22,16,697438,286076336,224587626,239046654
reorder,col,22,16,491538,286015593,224931416,238359774
reorder,col,22,16,201378,286024098,224679468,237390537
reorder,col,22,16,363911,286045131,224775198,238026577
reorder,col,22,32,1128851,567282169,443156581,471119309
reorder,col,22,32,662699,567274233,443226788,469705304
reorder,col,22,32,736580,567309563,443420128,469664154
reorder,col,22,32,1189508,567308445,442997373,471569780
reorder,col,22,32,640173,567284450,443333200,469420772
reorder,col,22,64,2319837,1129820988,880420595,937154017
reorder,col,22,64,2389102,1129941235,880280579,937320218
reorder,col,22,64,1163362,1129912083,879944123,932492254
reorder,col,22,64,2392458,1129936223,880233809,935972932
reorder,col,22,64,1385066,1129538216,880225821,932731305
reorder,col,22,96,2031902,1692318884,1316982038,1395773742
reorder,col,22,96,1943607,1691056154,1310090786,1394509350
reorder,col,22,96,2223175,1692138322,1316274315,1397371716
reorder,col,22,96,1950340,1691317985,1313927227,1394742586
reorder,col,22,96,2827823,1692072899,1314764805,1398295867
reorder,col,23,1,514803,45051110,39472675,46464460
reorder,col,23,1,511133,45049233,39501044,46472395
reorder,col,23,1,435890,45048996,39520576,46261722
reorder,col,23,1,499977,45050946,39459655,46451691
reorder,col,23,1,479268,45057697,39524621,46370547
reorder,col,23,2,476113,80462883,66251859,77367994
reorder,col,23,2,569947,80484255,66417090,77649099
reorder,col,23,2,559522,80454326,66431771,77612301
reorder,col,23,2,624022,80457570,66418547,77765856
reorder,col,23,2,612176,80435812,66442232,77771523
reorder,col,23,4,789837,151225212,120165258,140249442
reorder,col,23,4,880894,151308474,120271924,140504689
reorder,col,23,4,689787,151247395,120236148,140007990
reorder,col,23,4,675306,151300640,120324372,139892079
reorder,col,23,4,795843,151314174,120245412,140328773
reorder,col,23,8,1419055,292911632,227410200,266411865
reorder,col,23,8,1162539,292916718,227817137,265619838
reorder,col,23,8,1164966,293018774,227683598,265619658
reorder,col,23,8,1076194,292933219,227979361,265284806
reorder,col,23,8,1292198,292956350,227780297,265911719
reorder,col,23,16,2376142,576221870,443250263,517040114
reorder,col,23,16,1562703,576218241,443212835,514967657
reorder,col,23,16,2137561,576226372,443359816,516512454
reorder,col,23,16,1676071,575270645,442034535,514293116
reorder,col,23,16,1478841,576139287,443774918,514501816
reorder,col,23,32,4031426,1142804747,874399734,1018440485
reorder,col,23,32,3350750,1142817608,874374214,1015883231
reorder,col,23,32,2727246,1142737784,874275772,1014377545
reorder,col,23,32,4455120,1142793034,873592275,1019298165
reorder,col,23,32,4191880,1142794154,873960458,1019032833
reorder,col,23,64,8088118,2275865419,1728753713,2021914091
reorder,col,23,64,4575550,2275145158,1726600430,2010742352
reorder,col,23,64,7450428,2275816373,1729680904,2020022014
