category,count,columns,time,L2_TLB_MISS_DATA,L1D_CACHE_MISS_LD,L1D_CACHE_MISS_ST,L1D_TLB_MISS,BRANCH_COND_MISPRED_NONSPEC
row,4194304,64,458975333,2,163,188,6,0
row,4194304,64,459075333,2,161,201,6,0
row,4194304,64,459175333,2,169,191,6,0
row,4194304,64,459275333,3,167,200,10,0
row,4194304,64,459375333,2,157,196,7,0
row,4194304,64,459475333,0,157,174,0,0
row,4194304,64,459575291,2,162,200,7,0
row,4194304,64,459675333,2,158,201,6,0
row,4194304,64,459775333,3,170,215,8,0
row,4194304,64,459875333,2,152,201,6,0
row,4194304,64,459978208,2,164,206,8,0
row,4194304,64,460075333,2,150,201,8,0
row,4194304,64,460175333,4,166,184,8,0
row,4194304,64,460275291,2,170,189,7,0
row,4194304,64,460375333,2,164,190,7,0
row,4194304,64,460475333,3,178,168,8,0
row,4194304,64,460575333,2,158,187,6,0
row,4194304,64,460675333,0,174,166,0,0
row,4194304,64,460775333,2,163,219,7,0
row,4194304,64,460875333,3,167,184,9,0
row,4194304,64,460975333,2,163,206,7,0
row,4194304,64,461075333,2,170,209,7,0
row,4194304,64,461175333,2,155,203,7,0
row,4194304,64,461475333,2,171,197,7,0
row,4194304,64,461575333,3,179,174,9,0
row,4194304,64,461775291,2,156,218,7,0
row,4194304,64,461875333,0,164,165,0,0
row,4194304,64,461978166,3,166,215,9,0
row,4194304,64,462075291,4,152,191,9,0
row,4194304,64,462175333,2,154,214,7,0
row,4194304,64,462275333,3,160,210,9,0
row,4194304,64,462375291,3,157,197,8,0
row,4194304,64,462475333,2,153,195,7,0
row,4194304,64,462575291,2,164,193,7,0
row,4194304,64,462675500,3,155,159,9,0
row,4194304,64,462775458,3,164,165,10,0
row,4194304,64,462875416,2,156,188,6,0
row,4194304,64,462975541,0,159,219,0,0
row,4194304,64,463075500,3,162,195,8,0
row,4194304,64,463178166,2,153,213,7,0
row,4194304,64,463378083,4,166,184,9,0
row,4194304,64,463475333,2,159,171,6,0
row,4194304,64,463575291,2,164,199,6,0
row,4194304,64,463675333,2,154,218,7,0
row,4194304,64,463775333,2,165,193,6,0
row,4194304,64,463875333,3,170,201,10,0
row,4194304,64,463975625,4,166,178,11,0
row,4194304,64,464075291,0,176,167,0,0
row,4194304,64,464175291,2,156,222,7,0
row,4194304,64,464275333,2,165,209,6,0
row,4194304,64,464375333,2,155,210,8,0
row,4194304,64,464475333,2,150,205,6,0
row,4194304,64,464575333,3,175,191,9,0
row,4194304,64,464675458,2,146,213,7,0
row,4194304,64,464775750,2,165,200,6,0
row,4194304,64,464878041,2,146,198,6,0
row,4194304,64,464975333,3,156,155,11,0
row,4194304,64,465075333,3,161,218,9,0
row,4194304,64,465175333,0,174,219,0,0
row,4194304,64,465275333,3,163,215,12,0
row,4194304,64,465375333,2,150,220,6,0
row,4194304,64,465475333,3,169,184,7,0
row,4194304,64,465575333,3,166,201,8,0
row,4194304,64,465675375,2,156,224,6,0
row,4194304,64,465775333,2,172,181,6,0
row,4194304,64,465875333,3,172,183,11,0
row,4194304,64,465978208,2,136,209,6,0
row,4194304,64,466075250,2,148,210,6,0
row,4194304,64,466175291,2,137,193,6,0
row,4194304,64,466275291,2,154,196,6,0
row,4194304,64,466375250,3,161,175,9,0
row,4194304,64,466475250,0,172,196,0,0
row,4194304,64,466575291,2,165,202,6,0
row,4194304,64,466675291,2,165,177,6,0
row,4194304,64,466775250,3,191,186,8,0
row,4194304,64,466875291,2,151,201,8,0
row,4194304,64,466975291,3,169,187,8,0
row,4194304,64,467075291,3,171,184,7,0
row,4194304,64,467175291,2,165,203,6,0
row,4194304,64,467275250,2,136,201,7,0
row,4194304,64,467375250,2,167,217,7,0
row,4194304,64,467575250,2,158,219,7,0
row,4194304,64,467675250,2,169,218,8,0
row,4194304,64,467775250,3,175,188,7,0
row,4194304,64,467875708,2,167,207,7,0
row,4194304,64,467975541,0,162,205,0,0
row,4194304,64,468075500,2,171,214,7,0
row,4194304,64,468275291,2,161,203,6,0
row,4194304,64,468375291,2,161,210,7,0
row,4194304,64,468475291,2,167,205,7,0
row,4194304,64,468575250,2,150,217,7,0
row,4194304,64,468675250,2,166,191,7,0
row,4194304,64,468775250,2,152,212,7,0
row,4194304,64,468875250,2,174,206,7,0
row,4194304,64,468975291,3,177,196,11,0
row,4194304,64,469075291,3,162,199,8,0
row,4194304,64,469175291,2,169,208,6,0
row,4194304,64,469275250,3,173,181,9,0
row,4194304,64,469375333,3,167,224,11,0
row,4194304,64,469475333,0,169,178,0,0
row,4194304,64,469575250,3,165,217,9,0
row,4194304,64,469675250,2,158,203,7,0
row,4194304,64,469775291,2,156,202,7,0
row,4194304,64,469875541,3,167,185,8,0
row,4194304,64,469978000,3,169,210,8,0
row,4194304,64,470075291,2,147,192,6,0
row,4194304,64,470175291,2,163,201,6,0
row,4194304,64,470275250,2,167,199,7,0
row,4194304,64,470375250,2,168,196,7,0
row,4194304,64,470475250,2,165,192,7,0
row,4194304,64,470575250,2,166,173,6,0
row,4194304,64,470675250,2,130,182,7,0
row,4194304,64,470775250,3,154,177,8,0
row,4194304,64,470875291,3,160,206,8,0
row,4194304,64,470975291,0,157,219,0,0
row,4194304,64,471075250,2,178,195,6,0
row,4194304,64,471175291,3,168,203,8,0
row,4194304,64,471275291,2,159,199,6,0
row,4194304,64,471375250,2,168,187,6,0
row,4194304,64,471475250,2,176,200,7,0
row,4194304,64,471575250,3,168,225,9,0
row,4194304,64,471675250,3,162,226,9,0
row,4194304,64,471775291,2,160,190,7,0
row,4194304,64,471878208,4,144,184,9,0
row,4194304,64,471975250,2,158,199,7,0
row,4194304,64,472075250,3,167,199,9,0
row,4194304,64,472175291,3,159,196,8,0
row,4194304,64,472275458,3,161,216,10,0
row,4194304,64,472375458,0,157,214,0,0
row,4194304,64,472475291,2,164,200,7,0
row,4194304,64,472575333,2,160,234,7,0
row,4194304,64,472675291,2,165,201,7,0
row,4194304,64,472775250,2,169,213,6,0
row,4194304,64,472875250,3,175,198,8,0
row,4194304,64,472975250,2,171,211,6,0
row,4194304,64,473075250,2,143,226,8,0
row,4194304,64,473175250,3,178,161,7,0
row,4194304,64,473275375,2,169,202,7,0
row,4194304,64,473375333,2,162,208,8,0
row,4194304,64,473475291,2,170,176,6,0
row,4194304,64,473575250,4,172,198,11,0
row,4194304,64,473675250,2,178,204,7,0
row,4194304,64,473775250,2,168,222,9,0
row,4194304,64,473878125,3,169,195,9,0
row,4194304,64,473975250,1,171,156,17,0
row,4194304,64,474075250,2,168,216,7,0
row,4194304,64,474175333,2,149,204,7,0
row,4194304,64,474275250,4,166,183,8,0
row,4194304,64,474375291,2,152,200,6,0
row,4194304,64,474475291,3,162,202,8,0
row,4194304,64,474575250,2,169,207,6,0
row,4194304,64,474675250,3,170,175,7,0
row,4194304,64,474775250,3,167,193,8,0
row,4194304,64,474875250,2,175,181,7,0
row,4194304,64,474975291,3,176,183,7,0
row,4194304,64,475075250,3,145,200,11,0
row,4194304,64,475175250,2,165,226,6,0
row,4194304,64,475275250,3,169,189,8,0
row,4194304,64,475375250,2,153,227,6,0
row,4194304,64,475475250,0,184,194,0,0
row,4194304,64,475575250,3,156,207,8,0
row,4194304,64,475675250,2,148,224,6,0
row,4194304,64,475775291,3,164,216,8,0
row,4194304,64,475878166,2,170,227,6,0
row,4194304,64,475975250,2,148,209,7,0
row,4194304,64,476075291,2,164,188,6,0
row,4194304,64,476175250,3,176,199,7,0
row,4194304,64,476275291,2,135,196,6,0
row,4194304,64,476375250,2,163,204,6,0
row,4194304,64,476475250,2,180,186,6,0
row,4194304,64,476575250,2,170,219,8,0
row,4194304,64,476675291,2,155,154,6,0
row,4194304,64,476775250,2,165,195,6,0
row,4194304,64,476875250,0,166,222,0,0
row,4194304,64,476975250,2,173,222,6,0
row,4194304,64,477075250,3,156,190,8,0
row,4194304,64,477175250,2,146,230,6,0
row,4194304,64,477275250,3,171,199,6,0
row,4194304,64,477475291,2,152,210,6,0
row,4194304,64,477575250,2,136,191,6,0
row,4194304,64,477675250,2,157,189,6,0
row,4194304,64,477775458,2,166,178,6,0
row,4194304,64,477878041,2,141,207,7,0
row,4194304,64,477975291,2,162,210,6,0
row,4194304,64,478075250,2,159,161,6,0
row,4194304,64,478175250,2,165,226,7,0
row,4194304,64,478275416,0,151,159,0,0
row,4194304,64,478375416,2,154,205,7,0
row,4194304,64,478478166,3,169,206,8,0
row,4194304,64,478575250,2,166,196,6,0
row,4194304,64,478675250,3,170,220,8,0
row,4194304,64,478775416,2,175,200,6,0
row,4194304,64,478875333,2,160,185,6,0
row,4194304,64,478975291,2,156,177,4,0
row,4194304,64,479075250,2,170,199,7,0
row,4194304,64,479175291,2,156,171,6,0
row,4194304,64,479275250,3,157,234,11,0
row,4194304,64,479375250,2,121,166,6,0
row,4194304,64,479475250,2,167,220,7,0
row,4194304,64,479575541,2,164,166,7,0
row,4194304,64,479675250,1,166,153,16,0
row,4194304,64,479778166,3,160,193,9,0
row,4194304,64,479875250,2,164,202,6,0
row,4194304,64,479975291,3,169,212,9,0
row,4194304,64,480075333,3,175,221,11,0
row,4194304,64,480175458,2,151,153,6,0
row,4194304,64,480278125,2,167,205,6,0
row,4194304,64,480375250,2,158,171,6,0
row,4194304,64,480475500,3,189,201,9,0
row,4194304,64,480578166,2,161,215,7,0
row,4194304,64,480675291,2,155,178,7,0
row,4194304,64,480875208,3,176,157,10,0
row,4194304,64,480975250,1,172,186,17,0
row,4194304,64,481075250,2,170,220,6,0
row,4194304,64,481175250,3,170,209,11,0
row,4194304,64,481275291,2,158,198,6,0
row,4194304,64,481375500,2,167,214,7,0
row,4194304,64,481478166,2,163,211,8,0
row,4194304,64,481575250,3,168,192,8,0
row,4194304,64,481675250,2,166,198,8,0
row,4194304,64,481778166,3,165,220,10,0
row,4194304,64,481875291,2,156,207,6,0
row,4194304,64,481975291,2,162,209,8,0
row,4194304,64,482075250,3,140,208,6,0
row,4194304,64,482175250,2,159,153,6,0
row,4194304,64,482275541,3,155,210,8,0
row,4194304,64,482378166,1,168,182,20,0
row,4194304,64,482475250,2,144,197,6,0
row,4194304,64,482675291,2,172,198,6,0
row,4194304,64,482775291,2,152,230,8,0
row,4194304,64,482875250,3,177,179,7,0
row,4194304,64,482975250,2,163,212,6,0
row,4194304,64,483075291,3,155,237,12,0
row,4194304,64,483175291,2,146,194,6,0
row,4194304,64,483275291,3,173,176,7,0
row,4194304,64,483375250,2,144,196,7,0
row,4194304,64,483475250,3,144,184,9,0
row,4194304,64,483575250,3,171,185,9,0
row,4194304,64,483675250,3,166,221,10,0
row,4194304,64,483778291,3,169,215,7,0
row,4194304,64,483875291,1,167,163,19,0
row,4194304,64,483975291,2,156,202,8,0
row,4194304,64,484075250,2,174,217,6,0
row,4194304,64,484175250,2,161,206,6,0
row,4194304,64,484275291,3,159,152,8,0
row,4194304,64,484375250,2,173,202,6,0
row,4194304,64,484475291,2,142,208,7,0
row,4194304,64,484575291,3,172,192,9,0
row,4194304,64,2489675541,13,48,6,43,6
row,4194304,64,2489775583,169,13249,23154,3898,17
row,4194304,64,2489875583,206,17206,28875,5140,7
row,4194304,64,2489975458,186,17846,29942,5199,4
row,4194304,64,2490075625,179,15633,27922,4491,4
row,4194304,64,2490175541,211,18463,31876,4999,4
row,4194304,64,2490275541,213,18608,31063,5337,6
row,4194304,64,2490375541,200,16953,28917,5188,4
row,4194304,64,2490475583,203,18089,28966,5338,4
row,4194304,64,2490575583,214,18452,30988,5152,6
row,4194304,64,2490675583,223,17705,31280,5540,4
row,4194304,64,2490775666,201,17007,29083,4620,4
