category,count,columns,cmd,pid,time,counter,event,ptr,fun,lib
row_all,16777216,3,simulation,6104,11651527.996607:,68982,branch-misses:,408463,FillColumns<unsigned,int>+0x273,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.001239:,132025,cache-misses:,7f0b17a58e06,random_r+0x16,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.006933:,67508,branch-misses:,40845d,FillColumns<unsigned,int>+0x26d,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.011261:,132263,cache-misses:,7f0b17a58988,random+0x8,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.016713:,68554,branch-misses:,40845d,FillColumns<unsigned,int>+0x26d,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.021142:,133462,cache-misses:,7f0b17a58e33,random_r+0x43,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.026874:,67165,branch-misses:,7f0b17a589c9,random+0x49,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.037558:,64019,branch-misses:,7f0b17a589e2,random+0x62,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.047675:,63563,branch-misses:,7f0b17a589e2,random+0x62,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.057721:,63490,branch-misses:,7f0b17a589b0,random+0x30,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.067794:,63145,branch-misses:,408463,FillColumns<unsigned,int>+0x273,(/experiments/sorting_simulation/simulation)
row_all,16777216,3,simulation,6104,11651528.077821:,63062,branch-misses:,ffffffff8d2712bc,__handle_mm_fault+0x25c,([kernel.kallsyms])
row_all,16777216,3,simulation,6104,11651528.087842:,62999,branch-misses:,7f0b17a58e9d,rand+0xd,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
row_all,16777216,3,simulation,6104,11651528.097849:,62962,branch-misses:,7f0b17a589d4,random+0x54,(/usr/lib/x86_64-linux-gnu/libc-2.31.so)
